,Unnamed: 0,url,title,price,rating,description,"Brand,Seller,orCollectionName",Modelnumber,PartNumber,ItemShape,Dialwindowmaterialtype,DisplayType,Clasp,Casematerial,Casediameter,CaseThickness,BandMaterial,Bandwidth,BandColor,Dialcolor,Bezelfunction,Movement,Waterresistantdepth,ProductWarranty,Metalstamp,Bezelmaterial,Specialfeatures,Itemweight,Bandsize,Calendar,Warranty,ModelYear,Material,ItemLength,Width,Length,Chain,GemType,Setting,StoneWeight,Waterpressureresistance
14,14,https://www.amazon.com/Caravelle-Quartz-Stainless-Steel-Watch/dp/B0773YT9Y4/ref=sr_1_255?keywords=bulova&qid=1692030893&sr=8-255,"Caravelle by Bulova Men's Dress Quartz Silver Tone Stainless Steel Watch, Black Dial Style: 43B158",93.75,4.5,"Perfect transition from day to evening, with its tailored lines and luminous hour indicators and hands, this versatile watch, in stainless steel with black dial, features Roman numeral and stick markers, calendar, and double-press fold-over clasp.   Perfect transition from day to evening, with its tailored lines and luminous hour indicators and hands, this versatile watch, in stainless steel with black dial, features Roman numeral and stick markers, calendar, and double-press fold-over clasp. 3-year Limited Warranty", Bulova , 43B158 , 43B158 , Round , Mineral , Analog , Push Button Foldover Clasp With Safety , Stainless Steel , 41 millimeters , 9 millimeters , Stainless Steel , 20 millimeters , Silver , Black , Stationary , Quartz , 100 Feet ,,, Stainless Steel , Water Resistant , 4 Ounces , 8.5 inches , Date ," For warranty information about this product, please click here [PDF ]  ",,,,,,,,,,
16,16,https://www.amazon.com/Bulova-Classic-Tigers-Pendant-Necklace/dp/B07XX243S5/ref=sr_1_261?keywords=bulova&qid=1692030893&sr=8-261,Bulova Men's Classic Round Box Link Chain Necklace with Polished Pendant,99.99,4.5,, Bulova , J98N005 ,,,,,,,,,,,,,,,,,,,,,,,,, Metal , 28 inches , 0.5 inches , 1.4 inches , Link ,,,,
17,17,https://www.amazon.com/Bulova-Mens-Sport-Chronograph-98A154/dp/B079YWCZ1N/ref=sr_1_264?keywords=bulova&qid=1692030893&sr=8-264,Bulova Men's Bulova Sport Chronograph 98A154,169.99,5.0,"Bulova Men's Stainless Steel Chronograph Watch, Black Dial", Bulova , 98A154 , 98A154 , Round , Mineral Glass , Analog , Flip Clasp , Stainless Steel , 43 millimeters , 11 millimeters , Stainless Steel , 22 millimeters , Silver , Black , 12 Hour Time Display , Quartz , 100 Meters ," For warranty information about this product, please click here ",, Mineral , Warranty ,, Mens Standard , Date-Month ,,,,,,,,,,,
19,19,https://www.amazon.com/Bulova-96R163-Stainless-Bracelet-Diamond/dp/B0088BMQG4/ref=sr_1_263?keywords=bulova&qid=1692030893&sr=8-263,Bulova Women's 96R163 Stainless Steel Bracelet Watch with Diamond Accents,279.99,4.3,"The Bulova Women's 96R163 Diamond Bezel Watch is a beautiful timepiece with fabulous details. Featuring a silver analog dial with chronograph functionality, diamond-accented bezel and a silver stainless steel band, this watch is a boyfriend style teeming with feminine grace.   In 1875, a young Czech immigrant named Joseph Bulova set up shop in New York City, and a legendary American watch brand was born. Bulova was trained as a jeweler, and his expertise carried over into his watchmaking career, which began around 1911 with boudoir clocks and pocket watches, and soon evolved to include what was then one of the latest and most fashionable technological innovations: the wristwatch. Bulova introduced its first line of wristwatches in 1919. The company grew and prospered, and soon early radio and television ads were declaring, ""America runs on Bulova time."" In the 1950s, continuing its legacy of innovation, Bulova introduced Accutron, the first electronic watch, and the first breakthrough in timekeeping technology in over 300 years. The Accutron timing mechanism was later adapted for use by NASA computers and a Bulova timer was even placed on the moon to control transmissions of data. Bulova timepieces have kept official time aboard Air Force One and have also served as official timepieces for U.S. Olympic teams. Today, Bulova maintains its tradition of excellence in technology and design, offering a diverse collection of beautiful precision timepieces for every occasion.", Bulova , 96R163 , 96R163 , Tonneau , Mineral , Analog , Deployment Clasp , Stainless Steel , 31 millimeters , 10 millimeters , Stainless Steel , 16 millimeters , Silver , Silver , Stationary , Japanese Quartz , 99 Feet ," For warranty information about this product, please click here ",, Stainless Steel ," Chronograph, Stop watch ",, Women's Standard , Date ,,2011.0,,,,,,,,,
20,20,https://www.amazon.com/Bulova-Womens-96R196-Display-Japanese/dp/B00I6CJQ6I/ref=sr_1_262?keywords=bulova&qid=1692030893&sr=8-262,Bulova Women's 96R196 Analog Display Japanese Quartz Watch,199.99,3.5,"In 1875, a young Czech immigrant named Joseph Bulova set up shop in New York City, and a legendary American watch brand was born. Bulova was trained as a jeweler, and his expertise carried over into his watchmaking career, which began around 1911 with boudoir clocks and pocket watches, and soon evolved to include what was then one of the latest and most fashionable technological innovations: the wristwatch. Bulova introduced its first line of wristwatches in 1919. The company grew and prospered, and soon early radio and television ads were declaring, ""America runs on Bulova time."" In the 1950s, continuing its legacy of innovation, Bulova introduced Accutron, the first electronic watch, and the first breakthrough in timekeeping technology in over 300 years. The Accutron timing mechanism was later adapted for use by NASA computers and a Bulova timer was even placed on the moon to control transmissions of data. Bulova timepieces have kept official time aboard Air Force One and have also served as official timepieces for U.S. Olympic teams. Today, Bulova maintains its tradition of excellence in technology and design, offering a diverse collection of beautiful precision timepieces for every occasion.   From the Diamond Collection. In stainless steel with 24 diamonds individually hand-set on tonneau case, metalized sapphire crystal, white enamel dial, double-press deployant closure, and water resistance to 30 meters.", Bulova , 96R196 , 96R196 , Tonneau , Mineral , Analog , Push Button Foldover Clasp With Safety , Stainless Steel , 26 millimeters , 5.9 millimeters , Stainless Steel , 14 millimeters , Metallic , White , Stationary , Japanese Quartz , 99 Feet ," For warranty information about this product, please click here ",, Stainless Steel , Water Resistant , 2 Ounces , Women's Standard ,,,2014.0,,,,,,,,,
21,21,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0OTY4MTU5Njg2OTE4NjM2OjE2OTIwMzA4OTM6c3BfbXRmOjMwMDAxMTEzMTUzODcwMjo6MDo6&url=%2FBulova-Chronograph-Stainless-Tachymeter-Resistant%2Fdp%2FB0C1HH3TN6%2Fref%3Dsr_1_259_sspa%3Fkeywords%3Dbulova%26qid%3D1692030893%26sr%3D8-259-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"Bulova Men’s Marine Star 6-Hand Quartz Chronograph Stainless Steel Watch, Blue Dial, Tachymeter, 100M Water Resistant (Model: 96B174)",450.0,4.6,"Bulova’s legendary Marine Star Collection, this watch features a men’s chronograph and calendar with exquisite style and exceptional functionality. The silver stainless steel case features a blue dial and mineral crystal, including 100m of water resistance.", Bulova , 96B174 , 96B174 , Round , Crystal , Analog , Foldover Clasp With Push Button , Stainless Steel , 42 millimeters , 12 millimeters , Stainless Steel , 22 millimeters , Silver , Blue , Stationary , Quartz , 100 Meters ,,, Stainless Steel , Chronograph ,, Mens Standard , Day-Date , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,,,,,,,,,,
23,23,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0OTY4MTU5Njg2OTE4NjM2OjE2OTIwMzA4OTM6c3BfbXRmOjIwMDAyMDY5NDI4MDI1MTo6MDo6&url=%2FBulova-Stainless-Steel-Analog-Quartz-Stainless-Steel%2Fdp%2FB01M2C0VJM%2Fref%3Dsr_1_258_sspa%3Fkeywords%3Dbulova%26qid%3D1692030893%26sr%3D8-258-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"Bulova Men's Crystal Octava Chronograph Quartz Watch, Pave Crystal Dial",298.89,4.7,"Watch Sizing Guide It's your time to shine in this Bulova® Crystal - 98C126 watch. Stainless steel case. Two-tone stainless steel bracelet with fold-over, double push-button release. Round face. Three-hand analog display with quartz movement. Brilliant dial embellished with 308 Swarovski® Crystals, gold-tone hands, and hour markers, three subdials and Bulova detailing. Water resistant up to 30 meters. Display case included. Imported. Your Bulova watch is covered by Bulova's 3-Year Global Warranty. Measurements: Case Height: 42 mm Case Width: 42 mm Case Depth: 10 mm Band Width: 20 mm Band Circumference/Length: 10 in Weight: 6 oz", Bulova , 98C126 , 98C126 , Octagonal , Synthetic Sapphire , Analog , Deployment Clasp , Stainless Steel , 41.5 millimeters , 9.8 millimeters , Stainless Steel , 22 millimeters , Gold , Silver , Stationary , Quartz , 100 Feet ,, no-metal-stamp (Fashion only) , Stainless Steel , Water Resistant , 8 Ounces , Mens Standard , Day-Date-Month , Warranty details can be found here [PDF ]  ,,,,,,,,,,
26,26,https://www.amazon.com/Bulova-96B290-Ambassador-37x44mm-Stainless/dp/B079C7T7M9/ref=sr_1_270?keywords=bulova&qid=1692030893&sr=8-270,Bulova Men's 96B290 Analog Display Analog Quartz Black Watch,197.21,4.2,"From the Classic Collection. New sleek Ambassador style with tonneau-shape stainless steel case, black dial with Roman markers and three-hand calendar feature, domed mineral glass, croco-embossed black leather strap with double-press deployant buckle closure, and water resistance to 30 meters. Diameter: 37X44.5mm Thickness: 8.5mm $2", Bulova , 96B290 , 96B290 , Round , Mineral , Analog , Push Button Deployment Clasp , Stainless Steel , 44.5 millimeters , 8.5 millimeters , Leather , 20 millimeters , Black , Black , Stationary , Quartz , 100 Feet ,,, Stainless Steel ,, 2.01 Ounces , Men's Standard , Date , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,2019.0,,,,,,,,,
29,29,https://www.amazon.com/Bulova-Classic-Automatic-Stainless-Gold-Tone/dp/B07W7W7H93/ref=sr_1_269?keywords=bulova&qid=1692030893&sr=8-269,Bulova Maquina Automatic Men's Leather Strap Watch,459.5,4.5,, Bulova , 97A148 , 97A148 , Round , Sapphire Crystal , Analog , Buckle , Stainless Steel , 46 millimeters , 12.6 millimeters , Leather , 27 millimeters , Black , Black , Stationary , Automatic , 100 Meters ," For warranty information about this product, please click here ", no-metal-stamp , Stainless Steel ," Hour, Minute, Second ", 3.81 Ounces ,, No Calendar ,,,,,,,,,,,
30,30,https://www.amazon.com/Bulova-Womens-Quartz-Stainless-watchMulti/dp/B01IU0DEBS/ref=sr_1_275?keywords=bulova&qid=1692030893&sr=8-275,Bulova Women's 98M125 Analog Display Analog Quartz Multi-Color Watch,181.01,3.8,"stainless steel and rose gold-tone bracelet with deployant closure, and water resistance to 30 meters.", Bulova , 98M125 , 98M125 , Round , Mineral , Analog , Deployment Clasp , Stainless Steel , 27 millimeters , 6.5 millimeters , Stainless Steel , 14 millimeters , Multicolor , White , Stationary , Quartz , 100 Feet ," For warranty information about this product, please click here ",, Stainless Steel ,, 2.26 Ounces , 8.25 inches , Date ,,,,,,,,,,,
31,31,https://www.amazon.com/Bulova-98P145-Tone-Gold-Slim/dp/B0114W1T70/ref=sr_1_273?keywords=bulova&qid=1692030893&sr=8-273,Bulova - 98P145 Two Tone Gold Slim Duet,120.0,4.6,"From the Bulova Diamonds collection. With stainless steel with silver-tone and gold-tone case and 11 diamonds individually hand-set on white mother-of-pearl dial, curved mineral glass, three-hand analog movement, fold-over closure, and water resistance to 30 meters. Diameter: 32.5mm", Bulova , 98P145 , 98P145 ,, Mineral , Analog , Push-Button Clasp , Stainless Steel , 32 millimeters , 8 millimeters , Stainless Steel , 19 millimeters , Silver , White , Stationary , Quartz , 30 Meters ," For warranty information about this product, please click here ",,,,,,,,,,,,,,,,,
32,32,https://www.amazon.com/Bulova-Classic-Quartz-Stainless-Two-Tone/dp/B000FVE2HQ/ref=sr_1_272?keywords=bulova&qid=1692030893&sr=8-272,"Bulova Ladies' Classic Two-Tone Stainless Steel 3-Hand Quartz, White Patterned Dial Style: 98V02",187.5,4.5,"From the Classic Collection. Features two tone stainless steel watch with white patterned dial, and water resistance to 30 meters.   Show the world your shining love of life with this brilliantly polished, two-tone Bulova stainless steel women's dress watch. It's highlighted by the distinctive stainless steel bracelet, which mixes silver and hollow gold-tone heart shapes. It features a thin-profile, elongated oval silver watch case that measures 16mm wide (0.63 inches), and it frames the white dial face with a thin gold outline. The dial has a full Arabic numeral display in gold-tone, as well as tiny gold hands with seconds hand. This precise quartz timepiece also features a scratch-resistant mineral crystal, gold crown, and water resistance to 30 meters (99 feet).   
  In 1875, a young Czech immigrant named Joseph Bulova set up shop in New York City, and a legendary American watch brand was born. Bulova was trained as a jeweler, and his expertise carried over into his watchmaking career, which began around 1911 with boudoir clocks and pocket watches, and soon evolved to include what was then one of the latest and most fashionable technological innovations: the wristwatch. Bulova introduced its first line of wristwatches in 1919. The company grew and prospered, and soon early radio and television ads were declaring, ""America runs on Bulova time."" In the 1950s, continuing its legacy of innovation, Bulova introduced Accutron, the first electronic watch, and the first breakthrough in timekeeping technology in over 300 years. The Accutron timing mechanism was later adapted for use by NASA computers and a Bulova timer was even placed on the moon to control transmissions of data. Bulova timepieces have kept official time aboard Air Force One and have also served as official timepieces for U.S. Olympic teams. Today, Bulova maintains its tradition of excellence in technology and design, offering a diverse collection of beautiful precision timepieces for every occasion.   See more", Bulova , 98V02 , 98V02 , Oval , Mineral , Analog , Jewelry Clasp , Stainless Steel , 23 millimeters , 7 millimeters , Stainless Steel , 9 millimeters , Silver , Mother of pearl , Stationary , Japanese Quartz , 99 Feet ,,, Stainless Steel ,,, Womens Standard , No Calendar , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,2011.0,,,,,,,,,
33,33,https://www.amazon.com/Bulova-Precisionist-Camouflage-Pendant-Necklace/dp/B07XX43GFZ/ref=sr_1_274?keywords=bulova&qid=1692030893&sr=8-274,Bulova Jewelry Men's Precisionist Round Box Link Chain Necklace with Dog Tag Pendant Style,77.99,4.6,, Bulova , J98N001 ,,,,,,,,,,,,,,,,,,,,,,,,, Non-Precious Metal ,, 0.6 inches , 1.6 inches , Link Chain ,,,,
34,34,https://www.amazon.com/Bulova-96A248-Oculus-Automatic-Special/dp/B08PBBQL8V/ref=sr_1_271?keywords=bulova&qid=1692030893&sr=8-271,"Bulova Frank Lloyd Wright 'December Gifts' Stainless Steel 3-Hand Automatic Watch, Black Leather Strap and Open Aperture Dial Style: 96A248",495.0,4.8,"Form and Function exist as one which is part of Wright’s philosophy. This watch, an abstract depiction of Frank Lloyd Wright’s ‘December Gifts’ has a neutral gray patterned dial, featured in a stainless steel case and black leather strap with a three-piece buckle closure. Beauty and utility are what composes an automatic watch. The heartbeat open aperture and glass exhibition case back, offer a look into the automatic movement. Watch features a domed mineral crystal and water resistance to 30 meters.", Bulova , 96A248 , 96A248 , Round , Mineral , Analog , Buckle , Stainless Steel , 39 millimeters , 12.3 millimeters , Leather , 20 millimeters , Black , Gray , Stationary , Automatic , 30 Meters ,, no-metal-stamp , Stainless Steel , Tourbillon ,, Mens Standard , No Calendar , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,,,,,,,,,,
35,35,https://www.amazon.com/Caravelle-Womens-Quartz-Stainless-Steel/dp/B07CVJQ3W5/ref=sr_1_276?keywords=bulova&qid=1692030893&sr=8-276,Caravelle Modern Quartz Ladies Bracelet Watch,110.5,4.8,, Bulova , 45P108 , 45P108 , Round , Mineral , Analog , Push Button Foldover Clasp With Safety , Stainless Steel , 30 millimeters , 7.35 millimeters , Stainless Steel , 14 millimeters , two tone , Silver , Stationary , Quartz , 100 Feet ,,, Stainless Steel ,, 1.5 Ounces , 8.25 inches , No Calendar ," For warranty information about this product, please click here [PDF ]  ",,,,,,,,,,
36,36,https://www.amazon.com/Bulova-Womens-Quartz-Stainless-Two-Tone/dp/B09F71XR3M/ref=sr_1_277?keywords=bulova&qid=1692030893&sr=8-277,"Bulova Ladies' Classic Surveyor Two-Tone Stainless Steel 3-Hand Calendar Date Quartz Watch, Silver-White Dial Style: 98M132",243.75,4.3,"From the Classic Collection. Two-tone stainless steel case and bracelet with a silver white dial and gold-tone accents. Watch features a flat mineral crystal, three-hand calendar movement, and water resistance to 30 meters.", Bulova , 98M132 , 98M132 , Round , Mineral , Analog , Deployment Clasp , Stainless Steel , 34 millimeters , 9.7 millimeters , Stainless Steel , 21 millimeters , Two-Tone , Silver-White , Stationary , Quartz , 30 Meters ,,, Stainless Steel , Second Hand ,, Womens Standard , Date , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,,,,,,,,,,
